Measurement Name :,run_3_dark_7_12_23-583,,Generated On :,"12/07/2023, 13:55:22",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000583      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 050
Ref LED current   : 040
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"12/07/2023, 13:37:15",,,,,,Batch No.:  ,SP-PSt5-2102-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"12/07/2023, 13:54:54",,,,,,O2_cal0 [°],56.14,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],50.69,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-583,,,,,,O2_T0 [°C],9.9,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],9.9,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],969,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
12.07.23 13:47:48,10.55,246.47,253.13,241.41,201.96,190.17,244.13,239.08,262.63,277.07,229.08,210.9,112.29,235.61,234.45,159.99,232.53,249.21,28.82,264.22,270.62,203.07,240.25,167.08,250.78,,23,969,35,23.4,
12.07.23 13:48:03,10.8,247.64,253.13,241.8,201.59,189.81,245.3,239.47,263.03,277.47,229.08,212.03,112.29,236.76,234.84,160.35,233.68,248.03,29.12,263.82,270.22,203.81,241.02,166.73,251.56,,23,969,35,23.38,
12.07.23 13:48:18,11.05,245.3,251.17,240.63,201.21,189.08,244.13,239.86,262.23,276.26,228.31,211.65,111.63,235.99,233.68,159.64,232.53,247.64,28.82,261.83,268.62,203.44,241.41,166.02,250.78,,23,969,35,23.36,
12.07.23 13:48:33,11.3,246.08,251.95,239.47,200.47,188.35,242.57,237.92,261.83,277.07,227.16,209.78,111.29,235.22,234.07,159.99,231.38,247.64,28.52,262.23,268.22,202.7,240.63,166.02,251.17,,23,969,35,23.36,
12.07.23 13:48:48,11.55,245.69,252.35,240.25,199,187.98,244.52,237.92,262.63,276.26,227.55,209.03,110.96,234.45,232.91,159.64,231.38,247.64,27.91,262.63,268.62,202.7,240.63,164.95,250.38,,23,969,35,23.36,
12.07.23 13:49:03,11.8,246.08,249.99,240.25,199.73,187.98,242.57,237.54,261.44,276.26,226.78,208.66,111.63,234.84,232.91,159.64,231.38,248.42,28.52,261.83,268.22,203.07,240.63,164.59,249.6,,23,969,35,23.34,
12.07.23 13:49:18,12.05,244.91,249.6,239.08,199.36,186.89,243.74,237.92,261.83,276.26,226.78,208.66,111.29,234.45,232.53,158.58,230.61,246.86,28.22,261.83,268.62,203.07,240.25,164.59,248.82,,23,969,35,23.34,
12.07.23 13:49:33,12.3,243.74,248.82,239.08,198.63,186.52,242.96,237.54,261.44,275.86,226.78,207.91,110.96,234.45,232.14,158.58,230.61,247.25,27.01,260.64,268.62,202.7,239.86,163.88,248.82,,23,969,35,23.31,
12.07.23 13:49:48,12.55,243.74,249.21,239.08,198.63,186.52,242.96,237.92,260.64,275.45,226.4,207.54,110.29,234.07,232.14,158.93,230.22,246.86,27.31,262.23,269.42,203.07,239.86,163.53,249.6,,23,969,35,23.31,
12.07.23 13:50:03,12.8,243.35,249.99,238.7,198.63,185.8,241.8,236.76,259.85,274.24,226.4,208.28,109.63,234.07,231.38,158.23,230.22,247.25,27.01,261.44,268.22,203.07,239.47,163.18,249.6,,23,969,35,23.31,
12.07.23 13:50:18,13.05,244.52,249.6,238.31,197.52,185.43,241.41,237.54,260.24,275.05,225.64,207.16,110.29,233.68,230.61,157.88,230.22,245.69,26.41,261.44,268.62,201.96,239.86,161.76,249.21,,23,969,35,23.29,
12.07.23 13:50:33,13.3,244.13,249.21,237.15,197.52,184.34,241.02,236.76,260.24,273.84,224.88,207.16,109.96,233.68,229.84,158.23,229.46,246.08,26.41,261.04,266.22,202.7,239.08,160.7,248.82,,23,969,35,23.27,
12.07.23 13:50:48,13.55,242.19,248.42,237.15,196.41,182.53,240.63,235.22,261.44,271.83,224.12,206.04,108.96,232.91,228.31,157.88,229.46,244.91,26.11,260.64,266.62,201.96,238.31,159.99,248.03,,23,969,35,23.25,
12.07.23 13:51:03,13.8,242.19,247.25,236.76,196.41,183.62,241.02,236.76,260.64,272.23,224.88,206.79,109.3,233.3,228.31,158.23,229.46,245.3,26.41,260.64,267.02,202.33,238.7,160.7,248.42,,23,969,35,23.24,
12.07.23 13:51:18,14.05,242.57,247.25,236.38,196.04,184.7,241.8,235.61,261.83,272.23,223.74,206.04,109.96,232.53,228.31,158.23,229.84,245.3,26.11,260.24,267.42,202.33,238.31,159.29,248.82,,23,969,35,23.24,
12.07.23 13:51:33,14.3,242.57,246.47,236.76,195.68,182.16,239.86,235.99,260.64,272.23,224.12,206.04,109.3,232.91,227.55,157.88,229.08,244.91,24.9,260.64,266.62,202.33,238.31,159.99,248.82,,23,969,35,23.24,
12.07.23 13:51:48,14.55,242.19,247.25,235.61,196.04,182.53,239.08,235.61,261.44,271.02,223.74,206.42,109.3,232.53,227.55,158.23,229.08,244.91,25.2,259.85,267.42,202.33,238.7,159.99,248.82,,23,969,35,23.22,
12.07.23 13:52:03,14.8,241.41,246.47,234.84,194.94,182.53,240.63,234.45,259.45,271.42,222.98,204.93,108.96,231.76,226.02,157.53,228.31,244.13,24.6,260.24,266.22,201.59,236.76,158.93,247.64,,23,969,35,23.2,
12.07.23 13:52:18,15.05,241.8,244.52,233.68,193.84,182.89,241.02,234.07,258.66,271.02,223.36,204.93,108.3,232.14,226.02,156.47,227.55,244.13,24.6,259.85,265.82,202.33,236.76,158.93,247.64,,23,969,35,23.2,
12.07.23 13:52:33,15.3,241.02,244.91,234.45,194.57,181.8,239.86,234.45,258.26,271.42,222.98,204.18,108.63,231.76,226.78,157.53,227.93,243.74,24.3,259.45,264.62,201.59,235.61,159.64,248.03,,23,969,35,23.2,
12.07.23 13:52:48,15.55,240.25,244.13,233.68,193.84,181.8,237.92,234.45,258.66,270.22,221.84,204.18,107.97,230.22,226.02,156.82,227.16,242.96,24.3,259.06,264.62,201.96,236.38,158.58,246.47,,23,969,35,23.18,
12.07.23 13:53:03,15.8,240.25,244.13,232.91,193.84,181.44,237.15,232.91,257.87,268.62,222.6,203.44,108.3,230.61,225.26,156.82,226.78,242.96,23.4,258.66,265.42,201.59,236.76,158.23,246.86,,23,969,35,23.18,
12.07.23 13:53:18,16.05,240.63,244.52,232.14,193.47,180.72,238.7,232.91,258.26,269.82,222.6,203.81,107.97,230.99,225.64,156.12,226.02,242.96,23.4,257.08,265.82,201.96,236.38,157.88,246.86,,23,969,35,23.17,
12.07.23 13:53:33,16.3,239.86,245.3,231.38,193.1,179.99,238.31,233.3,258.26,269.42,221.84,203.07,107.3,230.22,225.26,155.77,226.78,242.57,23.7,257.87,264.62,201.59,234.84,158.23,247.25,,23,969,35,23.16,
12.07.23 13:53:48,16.55,239.08,244.52,231.38,193.1,179.27,237.15,232.53,257.87,268.62,221.84,203.81,107.3,230.61,224.88,156.12,226.02,242.57,22.8,258.26,265.02,201.59,233.68,157.53,246.47,,23,969,35,23.16,
12.07.23 13:54:03,16.8,238.7,244.52,231.76,192.74,179.27,235.99,232.91,257.08,267.82,221.84,201.96,106.64,230.22,224.12,155.77,225.26,242.96,22.8,258.66,264.62,201.21,235.22,156.82,246.47,,23,969,35,23.13,
12.07.23 13:54:18,17.05,238.7,244.13,232.14,192,179.63,236.38,232.14,256.68,268.22,221.08,202.33,106.64,230.22,225.64,155.42,226.4,242.57,22.8,258.66,264.22,201.21,234.84,156.12,247.25,,23,969,35,23.13,
12.07.23 13:54:33,17.3,238.31,242.19,231.76,192,178.91,236.38,232.14,256.68,267.42,221.84,201.59,106.64,230.99,223.36,155.77,226.4,242.19,22.5,258.26,264.22,200.47,234.84,155.77,246.86,,23,969,35,23.13,
12.07.23 13:54:48,17.55,237.92,242.57,230.99,192.37,178.19,235.99,231.76,256.68,267.82,221.08,201.21,105.98,229.84,223.36,155.07,226.02,241.02,21.9,258.66,264.22,201.21,234.84,155.07,246.08,,23,969,35,23.11,